상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0357806,웨스트피지오짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,41,경기도,41463,용인시 기흥구,41463570,마북동,4146311300,마북동,4146311300101870006,1,대지,187.0,6.0,경기도 용인시 기흥구 마북동 187-6,414633204029,경기도 용인시 기흥구 마북로,170.0,,4146311300101870006000001,,경기도 용인시 기흥구 마북로 170,446506.0,16911,,2,,127.124988942266,37.3041950672015
MA010120220812577918,이리카츠,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,31,울산광역시,31710,울주군,31710256,온양읍,3171025622,온양읍,3171025622101870010,1,대지,187.0,10.0,울산광역시 울주군 온양읍 대안리 187-10,317103173060,울산광역시 울주군 온양읍 온양로,153.0,,3171025622101910001000398,이리카츠,울산광역시 울주군 온양읍 온양로 153,689903.0,44977,,,,129.288358903954,35.4088550025169
MA010120220809164422,투사랑해사랑해노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,47,경상북도,47111,포항시 남구,47111525,상대동,4711110200,대도동,4711110200101170002,1,대지,117.0,2.0,경상북도 포항시 남구 대도동 117-2,471113303012,경상북도 포항시 남구 문예로,114.0,,4711110200101170002131736,,경상북도 포항시 남구 문예로 114,790822.0,37818,,,,129.367090548009,36.0168837252608
MA0101202211A0070284,건축사사무소오삼일비,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600104130005,1,대지,413.0,5.0,서울특별시 동대문구 장안동 413-5,112302000008,서울특별시 동대문구 천호대로,357.0,,1123010600104130005018107,J아파트,서울특별시 동대문구 천호대로 357,130843.0,2633,,5,,127.058957737872,37.5627298990508
MA010120220811912353,현동노래방,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56211,일반 유흥 주점업,48,경상남도,48125,창원시 마산합포구,48125510,현동,4812515900,현동,4812515900103740000,1,대지,374.0,,경상남도 창원시 마산합포구 현동 374,481253329062,경상남도 창원시 마산합포구 현동로,56.0,,4812515900103740000000001,,경상남도 창원시 마산합포구 현동로 56,631270.0,51778,,2,,128.55399650338,35.1505954621286
MA010120220806982566,청도감이야기,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47820,청도군,47820350,운문면,4782035036,운문면,4782035036100750000,1,대지,75.0,,경상북도 청도군 운문면 신원리 75,478204757325,경상북도 청도군 운문면 신원4길,22.0,,4782035036100750000026397,,경상북도 청도군 운문면 신원4길 22,714881.0,38368,,,,129.001155995364,35.6656680196194
MA010120220813069513,부자부동산중개법인,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,48,경상남도,48123,창원시 성산구,48123520,중앙동,4812312500,중앙동,4812312500100950002,1,대지,95.0,2.0,경상남도 창원시 성산구 중앙동 95-2,481233327038,경상남도 창원시 성산구 용지로,94.0,,4812312500100950002003380,올림피아상가,경상남도 창원시 성산구 용지로 94,642845.0,51515,,7,,128.677862397172,35.223879976975
MA010120220807076742,티오엠,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,43,충청북도,43150,제천시,43150360,백운면,4315036025,백운면,4315036025103230000,1,대지,323.0,,충청북도 제천시 백운면 도곡리 323,431504517061,충청북도 제천시 백운면 구학산로14길,52.0,,4315036025103230000012199,,충청북도 제천시 백운면 구학산로14길 52,390882.0,27103,,,,128.00398837545,37.1645356037552
MA0101202409A0140170,원디엑스,,M1,과학·기술,M109,기술 서비스,M10904,환경 관련 엔지니어링 서비스업,M72122,환경 관련 엔지니어링 서비스업,52,전북특별자치도,52113,전주시 덕진구,52113665,여의동,5211313100,만성동,5211313100113450003,1,대지,1345.0,3.0,전북특별자치도 전주시 덕진구 만성동 1345-3,521133351432,전북특별자치도 전주시 덕진구 만성북로,51.0,25.0,4511313100113450003000001,스페이스온지식산업센터,전북특별자치도 전주시 덕진구 만성북로 51-25,561330.0,54858,,,,127.082636661029,35.8490522177601
MA010120220803525729,수담수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11740,강동구,11740560,고덕2동,1174010200,고덕동,1174010200106930000,1,대지,693.0,,서울특별시 강동구 고덕동 693,117403124001,서울특별시 강동구 고덕로,353.0,,1174010200102170000018010,고덕그라시움아파트,서울특별시 강동구 고덕로 353,134082.0,5224,,,,127.164512443603,37.5571339275071
